Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
70,29,,,,,,,,28.9,,,,,,,,,17.53,
45.8,39,,,,,,,,32.1,,,,,,,,,17.53,
26.6,38,,,,,,,,26.6,,,,,,,,,17.53,
37,45,,,,,,,,22.8,,,,,,,,,17.53,
34.8,47.8,,,,,,,,29.6,,,,,,,,,17.53,
14.2,27.3,,,,,,,,25.5,,,,,,,,,17.53,
27,44.1,,,,,,,,24.0,,,,,,,,,17.53,
26,29,,,,,,,,32.2,,,,,,,,,17.53,
31.6,43,,,,,,,,31.7,,,,,,,,,17.53,
29.6,34.5,,,,,,,,25.6,,,,,,,,,17.53,
28.5,34,,,,,,,,27.2,,,,,,,,,17.53,
23.3,38.3,,,,,,,,66.5,,,,,,,,,15.06,
27.6,35.3,,,,,,,,29.6,,,,,,,,,15.06,
17,35.1,,,,,,,,32.4,,,,,,,,,15.06,
102.1,25.9,,,,,,,,26.4,,,,,,,,,15.06,
103,47.1,,,,,,,,24.4,,,,,,,,,15.06,
87.5,38.8,,,,,,,,31.6,,,,,,,,,15.06,
63,35.9,,,,,,,,25.0,,,,,,,,,15.06,
68.3,27.7,,,,,,,,22.1,,,,,,,,,15.06,
97,45.4,,,,,,,,28.3,,,,,,,,,15.06,
108.8,30.4,,,,,,,,27.8,,,,,,,,,15.06,
123.9,33.8,,,,,,,,29.8,,,,,,,,,15.06,
105.8,31.5,,,,,,,,34.1,,,,,,,,,15.06,
123.3,41,,,,,,,,26.4,,,,,,,,,15.06,
625.4,37.9,,,,,,,,25.4,,,,,,,,,15.06,
113.2,37.6,,,,,,,,24.4,,,,,,,,,15.06,
291.8,24.5,,,,,,,,31.5,,,,,,,,,15.06,
,34.7,,,,,,,,27.0,,,,,,,,,15.06,
,28.7,,,,,,,,31.5,,,,,,,,,15.06,
,34.4,,,,,,,,29.0,,,,,,,,,15.06,
,37.4,,,,,,,,28.8,,,,,,,,,15.06,
,31.3,,,,,,,,26.6,,,,,,,,,15.06,
,31.7,,,,,,,,33.3,,,,,,,,,15.06,
,28.4,,,,,,,,24.7,,,,,,,,,15.06,
,34,,,,,,,,33.3,,,,,,,,,15.06,
