Scientific name,common name ,weight
Sardina pilchardus,sardine,9.6
Sardina pilchardus,sardine,10.1
Sardina pilchardus,sardine,8.1
Sardina pilchardus,sardine,10.9
Sardina pilchardus,sardine,11.1
Sardina pilchardus,sardine,10.6
Sardina pilchardus,sardine,11.3
Sardina pilchardus,sardine,9
Sardina pilchardus,sardine,8.9
Sardina pilchardus,sardine,10.1
Sardina pilchardus,sardine,9.1
Sardina pilchardus,sardine,9.4
Sardina pilchardus,sardine,10.9
Sardina pilchardus,sardine,8.3
Sardina pilchardus,sardine,8.8
Sardina pilchardus,sardine,8.8
Sardina pilchardus,sardine,9.9
Sardina pilchardus,sardine,11.4
Sardina pilchardus,sardine,10.8
Sardina pilchardus,sardine,10.3
Sardina pilchardus,sardine,10.3
Sardina pilchardus,sardine,9.7
Sardina pilchardus,sardine,13.1
Sardina pilchardus,sardine,10.2
Sardina pilchardus,sardine,9.5
Sardina pilchardus,sardine,11.2
Sardina pilchardus,sardine,8.4
Sardina pilchardus,sardine,10.1
Sardina pilchardus,sardine,10.8
Sardina pilchardus,sardine,10.3
Sardina pilchardus,sardine,10.8
Sardina pilchardus,sardine,11.4
Sardina pilchardus,sardine,9.4
Sardina pilchardus,sardine,10.1
Sardina pilchardus,sardine,8.9
Sardina pilchardus,sardine,9
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
